account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
106897,,,,,,,,54,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106899,,,,,,,,35,98,Excluded,Excluded,119,150,111,59,Excluded,,,,,,,,,,
106902,,,,,,,,1416202,48518,54840,52385,52486,57213,53143,54349,32844,,,,,,,,,,
106903,,,,,,,,177407,169918,200148,217975,250975,275155,306776,325664,70656,,,,,,,,,,
106911,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106912,,,,,,,,926,Excluded,Excluded,1011,1685,1808,1719,1712,1270,,,,,,,,,,
106914,,,,,,,,144,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106919,,,,,,,,886,551,135,164,208,155,172,167,124,,,,,,,,,,
106926,,,,,,,,24218,23004,34278,31774,30594,28367,28619,23995,14770,,,,,,,,,,
106927,,,,,,,,944,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106928,,,,,,,,379,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106929,,,,,,,,407,Excluded,Excluded,0,Excluded,204,Excluded,36,Excluded,,,,,,,,,,
106931,,,,,,,,9,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106932,,,,,,,,115,57,51,0,9,0,74,0,1150,,,,,,,,,,
106934,,,,,,,,150,Excluded,Excluded,Excluded,Excluded,Excluded,118,96,Excluded,,,,,,,,,,
106935,,,,,,,,1022,1587,1475,1762,1840,1800,2240,1492,Excluded,,,,,,,,,,
106936,,,,,,,,19018,11965,12407,10925,14161,19475,18092,Excluded,Excluded,,,,,,,,,,
106937,,,,,,,,190,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106938,,,,,,,,17,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106940,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,
106949,,,,,,,,63,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106952,,,,,,,,0,0,0,16,0,0,36,62,0,,,,,,,,,,
106953,,,,,,,,0,Excluded,Excluded,Excluded,,,,,,,,,,,,,,,
106956,,,,,,,,15567,11976,13971,3758,Excluded,,,,,,,,,,,,,,
106957,,,,,,,,1198,916,930,Excluded,802,993,Excluded,773,Excluded,Excluded,,,,,,,,,
106965,,,,,,,,127,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106967,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106969,,,,,,,,0,8678,10715,Excluded,13709,10923,11634,13645,16406,,,,,,,,,,
106970,,,,,,,,1258,1497,1411,1177,1057,478,253,33,Excluded,,,,,,,,,,
106974,,,,,,,,14,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106989,,,,,,,,31915,19429,22614,22713,25344,21772,19756,20312,3277,,,,,,,,,,
106990,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106991,,,,,,,,378416,868,895,216,431,601,1254,1752,630,,,,,,,,,,
106992,,,,,,,,1389,896,1235,1213,1573,1283,1304,960,Excluded,,,,,,,,,,
107049,,,,,,,,10,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,
107050,,,,,,,,22858,327,16,27,156,6,Excluded,Excluded,Excluded,,,,,,,,,,
